ID   MID    MMSI      longitude   latitude  speed  course  waktu  f_str(dB)  Jarak(Km)
 365    1   525300917  112.732490    -7.196335       0   235.4  15_29_21    19.09    13.06
 366    1   525011127  112.720667    -7.187992       0   300.4  15_29_22    19.62    14.48
 367    1   525125041  112.727920    -7.207315       0   243.0  15_29_24    17.79    12.21
 368    4     5250001  112.733870   -7.197102 2025/6/15
 369    1   525005052  112.734043    -7.196055       0   340.3  15_29_26    28.21    13.02
 370    3   636014595  112.723883    -7.197917       0   305.0  15_29_28    22.91    13.34
 371    1   525001047  112.729717    -7.207497       0   148.1  15_29_28    24.28    12.09
 372    1   525022001  112.701475    -7.186115       0   303.2  15_29_29    22.39    15.76
 373    1   525021186  112.727935    -7.199262       0   317.6  15_29_35    22.81    12.99
 374    1   525125041  112.727920    -7.207315       0   243.0  15_29_35    20.19    12.21
 375    4     5250001  112.733870   -7.197102 2025/6/15
 376    1   525005052  112.734048    -7.196060       0   340.3  15_29_37    24.10    13.02
 377    3   525025088  112.725373    -7.205763       0    48.5  15_29_37    25.49    12.50
 378    1   525022001  112.701467    -7.186117       0   301.2  15_29_39    21.67    15.76
 379    1   525300917  112.732490    -7.196335       0   235.4  15_29_40    20.33    13.06
 380    3   525019101  112.725352    -7.202785       0   153.5  15_29_42    19.20    12.79
 381    1   525101102  112.717617    -7.177200       0   162.0  15_29_42    19.41    15.69
 382    1   525300917  112.732488    -7.196335       0   235.4  15_29_46    18.84    13.06
 383    1   525005052  112.734058    -7.196062       0   340.3  15_29_46    27.88    13.02
 384    1   525010154  112.726203    -7.207603       0   147.7  15_29_50    19.87    12.27
 385    1   525022001  112.701457    -7.186113       0   298.2  15_29_50    21.55    15.76
 386    1   525021186  112.727937    -7.199258       0   296.4  15_29_54    20.62    12.99
 387    1   525125041  112.727933    -7.207313       0   243.0  15_29_54    23.13    12.21
 388    1   525005052  112.734060    -7.196062       0   340.3  15_29_56    24.82    13.02
 389    1   525022001  112.701447    -7.186113       0   296.1  15_30_1    22.86    15.76
 390    4     5250001  112.733870   -7.197102 2025/6/15
 391    1   525125041  112.727933    -7.207313       0   243.0  15_30_4    20.80    12.21
 392    1   525005052  112.734067    -7.196060       0   340.3  15_30_6    27.44    13.02
 393    1   525001047  112.729715    -7.207497       0   148.1  15_30_7    22.04    12.09
 394    3   626533000  112.687843    -7.173540       0   252.9  15_30_9    21.02    17.77
 395    1   525003239  112.723485    -7.204590       0   248.3  15_30_10    20.25    12.72
 396    1   525022001  112.701442    -7.186107       0   294.6  15_30_10    22.90    15.76
 397    1   525021186  112.727937    -7.199260       0   297.3  15_30_14    21.89    12.99
 398    1   525125041  112.727933    -7.207313       0   243.0  15_30_15    19.33    12.21
 399    4     5250001  112.733870   -7.197102 2025/6/15
 400    3   525300917  112.732483    -7.196335       0   235.4  15_30_15    20.83    13.06
 401    1   525005052  112.734065    -7.196052       0   340.3  15_30_16    24.88    13.02
 402    1   525100417  112.722138    -7.175643       0   360.0  15_30_18    21.21    15.63
 403    1   525022001  112.701435    -7.186108       0   292.7  15_30_21    23.59    15.76
 404    4     5250001  112.733870   -7.197102 2025/6/15
 405    1   525005052  112.734055    -7.196040       0   340.3  15_30_27    29.08    13.02
 406    1   525018479  112.721232    -7.190200       1   312.7  15_30_27    18.13    14.23
 407    1   525022001  112.701428    -7.186107       0   291.7  15_30_28    23.75    15.76
 408    1   525010154  112.726217    -7.207612       0   162.5  15_30_30    19.12    12.27
 409    1   525113033  112.809448    -6.885328       0   151.2  15_30_32    15.96    46.50
 410    1   525300917  112.732480    -7.196332       0   235.4  15_30_34    15.89    13.06
 411    1   525021186  112.727932    -7.199257       0   309.7  15_30_35    23.89    12.99
 412    1   525125041  112.727933    -7.207318       0   243.0  15_30_35    18.97    12.21
 413    1   525005052  112.734045    -7.196038       0   340.3  15_30_37    24.13    13.02
 414    1   525100417  112.722135    -7.175643       0   360.0  15_30_37    21.02    15.63
 415    1   525022001  112.701423    -7.186107       0   290.5  15_30_39    21.03    15.76
 416    1   525010092  112.726053    -7.208483       0   193.2  15_30_41    19.51    12.20
 417    1   525125041  112.727920    -7.207322       0   243.0  15_30_45    18.89    12.21
 418    1   525005052  112.734037    -7.196043       0   340.3  15_30_46    27.97    13.02
 419    1   525001047  112.729717    -7.207480       0   148.1  15_30_46    23.98    12.09
 420    1   525022001  112.701415    -7.186103       0   288.8  15_30_51    21.91    15.76
 421    1   525021186  112.727935    -7.199255       0   307.7  15_30_53    23.81    12.99
 422    1   525125041  112.727933    -7.207322       0   243.0  15_30_53    20.35    12.21
 423    4     5250001  112.733870   -7.197102 2025/6/15
 424    1   525005052  112.734035    -7.196032       0   340.3  15_30_56    24.38    13.02
 425    1   525022001  112.701400    -7.186090       0   287.0  15_31_1    24.71    15.76
 426    4     5250001  112.733870   -7.197102 2025/6/15
 427    1   525125041  112.727933    -7.207322       0   243.0  15_31_5    22.38    12.21
 428    1   525005052  112.734022    -7.196035       0   340.3  15_31_6    27.99    13.02
 429    1   525001047  112.729708    -7.207482       0   148.1  15_31_7    23.15    12.10
 430    1   525021186  112.727937    -7.199260       0   250.7  15_31_13    23.02    12.99
 431    1   525125041  112.727933    -7.207325       0   243.0  15_31_15    20.54    12.21
 432    4     5250001  112.733870   -7.197102 2025/6/15
 433    1   525005052  112.734033    -7.196027       0   340.3  15_31_16    24.13    13.02
 434    1   525018479  112.721192    -7.190182       0   312.7  15_31_17    18.59    14.23
 435    1   525010154  112.726215    -7.207595       0     0.0  15_31_20    19.36    12.27
 436    1   525022001  112.701377    -7.186093       0   286.5  15_31_20    24.47    15.77
 437    1   525101102  112.717617    -7.177200       0   162.0  15_31_22    21.15    15.69
 438    1   525021186  112.727937    -7.199255       0   288.2  15_31_24    20.11    12.99
 439    1   525021252  112.724888    -7.199788       0   250.4  15_31_27    20.31    13.10
 440    1   525005052  112.734043    -7.196038       0   340.3  15_31_27    27.93    13.02
 441    1   525001047  112.729723    -7.207495       0   148.1  15_31_27    22.24    12.09
 442    1   525022001  112.701373    -7.186088       0   287.1  15_31_29    24.70    15.77
 443    1   525010154  112.726223    -7.207602       0     0.0  15_31_30    20.21    12.27
 444    1   525125041  112.727933    -7.207322       0   243.0  15_31_34    22.59    12.21
 445    1   525005052  112.734055    -7.196043       0   340.3  15_31_36    23.48    13.02
 446    3   525125041  112.727922    -7.207322       0   243.0  15_31_37    31.24    12.21
 447    1   525100417  112.722135    -7.175643       0   360.0  15_31_37    20.68    15.63
 448    1   525022001  112.701367    -7.186088       0   287.9  15_31_38    20.58    15.77
 449    1   525010154  112.726208    -7.207610       0     0.0  15_31_40    22.47    12.27
 450    1   525101102  112.717617    -7.177200       0   162.0  15_31_41    22.47    15.69
 451    1   525005052  112.734057    -7.196047       0   340.3  15_31_46    29.06    13.02
 452    1   525010092  112.726053    -7.208490       0   193.2  15_31_51    20.14    12.20
 453    1   525010154  112.726198    -7.207610       0     0.0  15_31_51    20.29    12.27
 454    1   525022001  112.701345    -7.186078       1   289.8  15_31_51    22.67    15.77
 455    1   525016193  112.724500    -7.199818       1    30.0  15_31_53    19.13    13.12
 456    1   525101102  112.717617    -7.177183       0   162.0  15_31_53    21.44    15.70
 457    1   525021186  112.727933    -7.199257       0   288.2  15_31_54    23.64    12.99
 458    1   525125041  112.727933    -7.207322       0   243.0  15_31_54    18.78    12.21
 459    4     5250001  112.733870   -7.197102 2025/6/15
 460    1   525005052  112.734057    -7.196052       0   340.3  15_31_55    24.55    13.02
 461    1   525018479  112.721173    -7.190168       0   312.7  15_31_58    22.24    14.24
 462    1   525100417  112.722138    -7.175643       0   360.0  15_31_58    20.68    15.63
 463    1   525010154  112.726208    -7.207618       0     0.0  15_32_0    20.31    12.27
 464    1   525010092  112.726058    -7.208493       0   193.2  15_32_0    20.94    12.20
 465    1   525022001  112.701333    -7.186077       1   292.1  15_32_1    24.52    15.77
 466    1   525021186  112.727930    -7.199260       0   273.9  15_32_4    20.34    12.99
 467    4     5250001  112.733870   -7.197102 2025/6/15
 468    1   525005052  112.734058    -7.196057       0   340.3  15_32_5    28.66    13.02
 469    3   525025085  112.689152    -7.187710       0   332.9  15_32_8    20.10    16.43
 470    1   525000011  112.732225    -7.196903       0   248.7  15_32_9    17.28    13.02
 471    1   525022001  112.701325    -7.186075       1   294.4  15_32_9    22.54    15.77
 472    1   525125041  112.727933    -7.207318       0   243.0  15_32_15    21.55    12.21
 473    4     5250001  112.733870   -7.197102 2025/6/15
 474    1   525005052  112.734060    -7.196065       0   340.3  15_32_16    24.69    13.02
 475    3   525201572  112.744028    -7.194067       0   258.6  15_32_16    26.72    12.81
 476    1   525021252  112.724840    -7.199688       0   249.5  15_32_16    18.81    13.11
 477    1   525018479  112.721168    -7.190167       0   312.7  15_32_18    21.01    14.24
 478    1   525100417  112.722140    -7.175643       0   360.0  15_32_19    20.12    15.63
 479    1   525022001  112.701317    -7.186055       1   297.0  15_32_21    22.28    15.77
 480    1   525010092  112.726067    -7.208500       0   193.2  15_32_22    22.21    12.20
 481    1   525125041  112.727933    -7.207317       0   243.0  15_32_23    20.05    12.21
 482    4     5250001  112.733870   -7.197102 2025/6/15
 483    1   525005052  112.734058    -7.196065       0   340.3  15_32_26    27.91    13.02
 484    3   525022203  112.720327    -7.178635       0   228.4  15_32_28    18.57    15.42
 485    1   525003239  112.723448    -7.204620       0   248.3  15_32_29    21.30    12.71
 486    1   525011127  112.720687    -7.187930       0    10.9  15_32_31    20.55    14.48
 487    1   525022001  112.701307    -7.186055       1   299.0  15_32_31    22.08    15.77
 488    3   525125041  112.727933    -7.207317       0   243.0  15_32_35    19.51    12.21
 489    4     5250001  112.733870   -7.197102 2025/6/15
 490    3   525005052  112.734063    -7.196053       0   340.3  15_32_36    21.74    13.02
 491    1   525100417  112.722142    -7.175642       0   360.0  15_32_36    20.49    15.63
 492    1   525018479  112.721163    -7.190172       0   312.7  15_32_38    21.71    14.24
 493    1   525022001  112.701290    -7.186037       1   301.2  15_32_39    22.93    15.78
 494    1   525010092  112.726067    -7.208497       0   193.2  15_32_40    21.18    12.20
 495    3   525019101  112.725310    -7.202770       0   153.5  15_32_42    19.50    12.79
 496    1   525125041  112.727933    -7.207320       0   243.0  15_32_45    20.63    12.21
 497    1   525005052  112.734072    -7.196037       0   340.3  15_32_46    26.72    13.02
 498    1   525601953  112.708853    -7.180592       0   155.6  15_32_47    16.65    15.83
 499    1   525001047  112.729735    -7.207492       0   148.1  15_32_47    21.64    12.09
 500    1   525003239  112.723455    -7.204632       0   248.3  15_32_49    20.03    12.71
 501    1   525113033  112.809448    -6.885338       0   151.2  15_32_49    16.53    46.50
 502    1   525010092  112.726067    -7.208495       0   193.2  15_32_50    20.16    12.20
 503    1   525022001  112.701278    -7.186017       1   304.7  15_32_50    22.00    15.78
 504    1   525016193  112.724490    -7.199823       1   161.1  15_32_53    19.88    13.12
 505    4     5250001  112.733870   -7.197102 2025/6/15
 506    1   525005052  112.734075    -7.196032       0   340.3  15_32_56    22.40    13.02
 507    1   525018479  112.721158    -7.190172       0   312.7  15_32_57    24.34    14.24
 508    1   525100417  112.722145    -7.175640       0   360.0  15_32_57    20.06    15.63
 509    1   525022001  112.701272    -7.186015       0   306.4  15_33_0    20.50    15.78
 510    1   525125041  112.727933    -7.207322       0   243.0  15_33_4    19.92    12.21
 511    1   525300917  112.732500    -7.196328       0   235.4  15_33_4    18.99    13.06
 512    4     5250001  112.733870   -7.197102 2025/6/15
 513    1   525005052  112.734068    -7.196028       0   340.3  15_33_6    27.66    13.02
 514    1   525022001  112.701260    -7.186010       0   308.5  15_33_10    20.62    15.78
 515    1   525101102  112.717617    -7.177183       0   162.0  15_33_11    20.97    15.70
 516    1   525021186  112.727938    -7.199265       0   200.7  15_33_14    22.67    12.99
 517    1   525019035  112.723985    -7.185997       0   285.9  15_33_14    16.78    14.50
 518    1   525125041  112.727933    -7.207317       0   243.0  15_33_15    18.10    12.21
 519    1   525300917  112.732498    -7.196328       0   235.4  15_33_15    19.01    13.06
 520    1   525005052  112.734057    -7.196045       0   340.3  15_33_17    22.87    13.02
 521    1   525018479  112.721162    -7.190172       0   312.7  15_33_18    22.91    14.24
 522    1   525022001  112.701250    -7.186010       0   310.9  15_33_21    22.25    15.78
 523    1   525010092  112.726058    -7.208495       0   193.2  15_33_22    20.88    12.20
 524    1   525125041  112.727933    -7.207317       0   243.0  15_33_24    19.69    12.21
 525    4     5250001  112.733870   -7.197102 2025/6/15
 526    1   525005052  112.734067    -7.196042       0   340.3  15_33_25    28.09    13.02
 527    1   525018479  112.721165    -7.190170       0   312.7  15_33_27    19.65    14.24
 528    1   525001047  112.729710    -7.207505       0   148.1  15_33_28    21.82    12.09
 529    1   525010154  112.726227    -7.207593       0   167.8  15_33_30    19.55    12.27
 530    1   525101102  112.717617    -7.177183       0   162.0  15_33_31    22.47    15.70
 531    1   525022001  112.701233    -7.186005       0   312.5  15_33_31    22.97    15.78
 532    1   525125041  112.727920    -7.207317       0   243.0  15_33_35    20.02    12.21
 533    4     5250001  112.733870   -7.197102 2025/6/15
 534    1   525005052  112.734068    -7.196043       0   340.3  15_33_35    20.70    13.02
 535    1   525200262  112.726413    -7.208600       0   262.0  15_33_35    20.56    12.17
 536    1   525018479  112.721165    -7.190170       0   312.7  15_33_37    23.84    14.24
 537    1   525010092  112.726062    -7.208490       0   193.2  15_33_41    21.83    12.20
 538    1   525000011  112.732228    -7.196905       0   248.7  15_33_44    18.54    13.02
 539    1   525005052  112.734083    -7.196040       0   340.3  15_33_46    29.23    13.02
 540    1   525001047  112.729700    -7.207498       0   148.1  15_33_46    22.82    12.09
 541    1   525018479  112.721167    -7.190168       0   312.7  15_33_46    21.11    14.24
 542    1   525010092  112.726060    -7.208490       0   193.2  15_33_51    20.77    12.20
 543    1   525022001  112.701215    -7.185975       0   315.8  15_33_51    19.43    15.79
 544    1   525101102  112.717617    -7.177183       0   162.0  15_33_53    22.52    15.70
 545    1   525021186  112.727935    -7.199260       0   307.2  15_33_53    23.28    12.99
 546    1   525125041  112.727920    -7.207318       0   243.0  15_33_53    20.97    12.21
 547    1   525005052  112.734092    -7.196047       0   340.3  15_33_55    22.51    13.02
 548    4     5250001  112.733870   -7.197102 2025/6/15
 549    1   525018479  112.721165    -7.190165       0   312.7  15_33_58    24.04    14.24
 550    1   525022001  112.701215    -7.185980       0   316.7  15_34_0    23.72    15.79
 551    1   525010092  112.726058    -7.208488       0   193.2  15_34_0    21.71    12.20
 552    1   525010154  112.726243    -7.207617       0     0.0  15_34_1    21.45    12.27
 553    1   525125041  112.727920    -7.207322       0   243.0  15_34_3    19.86    12.21
 554    4     5250001  112.733870   -7.197102 2025/6/15
 555    1   525005052  112.734105    -7.196047       0   340.3  15_34_6    28.36    13.02
 556    1   525001047  112.729695    -7.207515       0   148.1  15_34_7    23.44    12.09
 557    1   525000011  112.732238    -7.196922       0   248.7  15_34_9    17.68    13.01
 558    1   525003239  112.723465    -7.204627       0   248.3  15_34_10    20.21    12.71
 559    1   525010092  112.726058    -7.208487       0   193.2  15_34_10    19.90    12.20
 560    4     5250001  112.733870   -7.197102 2025/6/15
 561    1   525005052  112.734102    -7.196045       0   340.3  15_34_17    22.67    13.02
 562    1   525021252  112.724828    -7.199728       0   252.6  15_34_17    19.63    13.11
 563    1   525200262  112.726387    -7.208567       0    83.3  15_34_17    21.90    12.17
 564    1   525018479  112.721162    -7.190168       0   312.7  15_34_17    23.59    14.24
 565    1   525100417  112.722148    -7.175640       0   360.0  15_34_19    20.09    15.63
 566    1   525022001  112.701198    -7.185968       0   318.5  15_34_20    23.37    15.79
 567    1   525010092  112.726057    -7.208485       0   193.2  15_34_22    22.12    12.20
 568    1   525016193  112.724557    -7.200682      11   200.5  15_34_23    21.31    13.03
 569    4     5250001  112.733870   -7.197102 2025/6/15
 570    1   525005052  112.734107    -7.196057       0   340.3  15_34_24    27.69    13.02
 571    1   525021252  112.724840    -7.199747       0   251.1  15_34_27    21.61    13.11
 572    1   525001047  112.729697    -7.207512       0   148.1  15_34_28    23.93    12.09
 573    1   525010154  112.726237    -7.207625       0     0.0  15_34_30    20.94    12.27
 574    3   525022005  112.720118    -7.175152       0     0.0  15_34_31    26.48    15.77
 575    1   525021186  112.727937    -7.199265       0   276.7  15_34_34    22.67    12.99
 576    4     5250001  112.733870   -7.197102 2025/6/15
 577    1   525005052  112.734108    -7.196065       0   340.3  15_34_36    21.99    13.01
 578    3   525125041  112.727913    -7.207323       0   243.0  15_34_37    30.54    12.21
 579    1   525018479  112.721163    -7.190170       0   312.7  15_34_37    22.26    14.24
 580    1   525022001  112.701207    -7.185953       0   320.3  15_34_40    23.30    15.79
 581    1   525000011  112.732222    -7.196908       0   248.7  15_34_40    18.07    13.02
 582    3   352004099  112.724033    -7.199533       0   333.3  15_34_41    22.69    13.17
 583    1   525010092  112.726050    -7.208487       0   193.2  15_34_41    20.17    12.20
 584    4     5250001  112.733870   -7.197102 2025/6/15
 585    1   525005052  112.734098    -7.196073       0   340.3  15_34_46    27.86    13.01
 586    1   525001047  112.729700    -7.207503       0   148.1  15_34_47    24.54    12.09
 587    1   525018479  112.721163    -7.190165       0   312.7  15_34_47    22.97    14.24
 588    1   525021252  112.724832    -7.199698       0   254.5  15_34_48    20.59    13.11
 589    1   525000011  112.732225    -7.196913       0   248.7  15_34_48    18.09    13.02
 590    1   525022001  112.701198    -7.185950       0   321.0  15_34_51    24.08    15.79
 591    1   525010154  112.726232    -7.207633       0     0.0  15_34_52    19.38    12.27
 592    1   525101102  112.717617    -7.177183       0   162.0  15_34_53    20.67    15.70
 593    3   525021186  112.727932    -7.199268       0   304.5  15_34_54    22.61    12.99
 594    1   525005052  112.734095    -7.196082       0   340.3  15_34_55    23.16    13.01
 595    4     5250001  112.733870   -7.197102 2025/6/15
 596    1   525018479  112.721167    -7.190162       0   312.7  15_34_58    22.07    14.24
 597    1   525401266  112.661455    -7.075898       0   341.5  15_34_58    18.19    28.55
 598    1   525021252  112.724823    -7.199695       0   255.9  15_34_58    20.37    13.11
 599    1   525100417  112.722152    -7.175640       0   360.0  15_34_58    20.45    15.63
 600    1   525022001  112.701185    -7.185948       0   321.9  15_35_0    23.28    15.79
 601    1   525000011  112.732227    -7.196908       0   248.7  15_35_1    17.17    13.02
 602    1   525010154  112.726232    -7.207640       0   167.6  15_35_1    22.84    12.27
 603    1   525010092  112.726052    -7.208488       0   193.2  15_35_2    20.63    12.20
 604    4     5250001  112.733870   -7.197102 2025/6/15
 605    1   525005052  112.734100    -7.196077       0   340.3  15_35_5    27.56    13.01
 606    1   525018479  112.721168    -7.190155       0   312.7  15_35_7    22.53    14.24
 607    3   525025085  112.689118    -7.187642       0   332.9  15_35_8    21.36    16.44
 608    1   525022001  112.701183    -7.185938       0   322.3  15_35_9    21.44    15.79
 609    1   525003239  112.723465    -7.204618       0   248.3  15_35_9    21.82    12.71
 610    1   525010092  112.726052    -7.208490       0   193.2  15_35_11    18.73    12.20
 611    1   525010154  112.726230    -7.207627       0   164.9  15_35_11    21.53    12.27
 612    1   525021186  112.727932    -7.199272       0   318.6  15_35_15    21.23    12.99
 613    1   525125041  112.727920    -7.207320       0   243.0  15_35_15    19.83    12.21
 614    4     5250001  112.733870   -7.197102 2025/6/15
 615    1   525000011  112.732233    -7.196885       0   248.7  15_35_16    19.49    13.02
 616    3   525201572  112.744022    -7.194062       0   271.0  15_35_18    31.66    12.81
 617    1   525100417  112.722153    -7.175640       0   360.0  15_35_19    20.43    15.63
 618    1   525125041  112.727920    -7.207318       0   243.0  15_35_23    18.18    12.21
 619    4     5250001  112.733870   -7.197102 2025/6/15
 620    1   525005052  112.734095    -7.196077       0   340.3  15_35_25    27.94    13.01
 621    3   525022203  112.720307    -7.178625       0   228.4  15_35_28    21.79    15.42
 622    3   636014595  112.723833    -7.197867       0   305.0  15_35_29    20.13    13.34
 623    1   525003239  112.723463    -7.204615       0   248.3  15_35_29    23.01    12.71
 624    1   525010154  112.726228    -7.207620       0     0.0  15_35_32    20.30    12.27
 625    1   525021186  112.727935    -7.199272       0   231.3  15_35_35    22.36    12.99
 626    4     5250001  112.733870   -7.197102 2025/6/15
 627    1   525005052  112.734098    -7.196083       0   340.3  15_35_36    22.81    13.01
 628    1   525000011  112.732243    -7.196895       0   248.7  15_35_38    18.18    13.02
 629    1   525022001  112.701197    -7.185922       0   324.4  15_35_40    19.22    15.79
 630    1   525300917  112.732488    -7.196325       0   235.4  15_35_40    20.87    13.06
 631    3   525019101  112.725337    -7.202767       0   153.5  15_35_40    20.94    12.79
 632    1   525010092  112.726052    -7.208490       0   193.2  15_35_40    22.92    12.20
 633    1   525125041  112.727920    -7.207315       0   243.0  15_35_45    18.98    12.21
 634    4     5250001  112.733870   -7.197102 2025/6/15
 635    1   525005052  112.734105    -7.196083       0   340.3  15_35_46    27.62    13.01
 636    1   525001047  112.729710    -7.207513       0   148.1  15_35_47    23.61    12.09
 637    1   525018479  112.721168    -7.190138       0   312.7  15_35_47    21.30    14.24
 638    1   525003239  112.723463    -7.204618       0   248.3  15_35_49    21.89    12.71
 639    1   525100417  112.722153    -7.175640       0   360.0  15_35_49    20.53    15.63
 640    1   525010092  112.726057    -7.208488       0   193.2  15_35_50    21.70    12.20
 641    1   525022001  112.701202    -7.185908       0   324.8  15_35_50    20.53    15.79
 642    1   525101102  112.717617    -7.177183       0   162.0  15_35_53    17.99    15.70
 643    1   525021186  112.727937    -7.199275       0   243.3  15_35_54    22.34    12.99
 644    1   525005052  112.734117    -7.196073       0   340.3  15_35_54    21.36    13.01
 645    4     5250001  112.733870   -7.197102 2025/6/15
 646    1   525200262  112.726433    -7.208517       0   109.4  15_35_56    22.77    12.17
 647    1   525125041  112.727920    -7.207315       0   243.0  15_35_56    20.04    12.21
 648    1   525001047  112.729728    -7.207527       0   148.1  15_35_59    21.40    12.09
 649    1   525022001  112.701197    -7.185903       0   325.6  15_36_0    19.32    15.79
 650    1   525010154  112.726240    -7.207632       0   166.0  15_36_1    20.51    12.27
 651    1   525010092  112.726057    -7.208490       0   193.2  15_36_1    22.17    12.20
 652    1   525300917  112.732490    -7.196323       0   235.4  15_36_4    19.17    13.06
 653    4     5250001  112.733870   -7.197102 2025/6/15
 654    1   525005052  112.734122    -7.196077       0   340.3  15_36_6    26.61    13.01
 655    1   525001047  112.729720    -7.207502       0   148.1  15_36_7    23.33    12.09
 656    1   525022001  112.701187    -7.185903       0   326.0  15_36_8    21.42    15.79
 657    1   525003239  112.723463    -7.204627       0   248.3  15_36_10    21.43    12.71
 658    3   626533000  112.687775    -7.173500       0   307.0  15_36_11    19.59    17.78
 659    1   525010092  112.726055    -7.208492       0   193.2  15_36_11    20.32    12.20
 660    1   525125041  112.727920    -7.207313       0   243.0  15_36_15    19.13    12.21
 661    4     5250001  112.733870   -7.197102 2025/6/15
 662    1   525200262  112.726500    -7.208497       0   109.4  15_36_15    23.01    12.17
 663    1   525005052  112.734135    -7.196075       0   340.3  15_36_17    20.58    13.01
 664    1   525000011  112.732252    -7.196948       0   248.7  15_36_18    17.47    13.01
 665    1   525010154  112.726242    -7.207637       0     0.0  15_36_20    17.62    12.27
 666    4     5250001  112.733870   -7.197102 2025/6/15
 667    1   525005052  112.734143    -7.196067       0   340.3  15_36_25    26.48    13.01
 668    1   525001047  112.729718    -7.207490       0   148.1  15_36_28    23.05    12.09
 669    1   525003239  112.723465    -7.204632       0   248.3  15_36_29    19.45    12.71
 670    1   525022001  112.701155    -7.185902       0   327.9  15_36_30    19.86    15.80
 671    1   525010092  112.726058    -7.208485       0   193.2  15_36_32    19.65    12.20
 672    1   525000011  112.732255    -7.196942       0   248.7  15_36_32    18.27    13.01
 673    1   525010154  112.726230    -7.207628       0     0.0  15_36_32    16.66    12.27
 674    4     5250001  112.733870   -7.197102 2025/6/15
 675    1   525005052  112.734145    -7.196070       0   340.3  15_36_36    22.89    13.01
 676    1   525125041  112.727920    -7.207315       0   243.0  15_36_36    24.65    12.21
 677    1   525018479  112.721163    -7.190117       0   312.7  15_36_37    22.90    14.24
 678    1   525100417  112.722152    -7.175637       0   360.0  15_36_37    20.43    15.63
 679    1   525022001  112.701150    -7.185900       0   328.8  15_36_39    20.80    15.80
 680    1   525010154  112.726238    -7.207625       0     0.0  15_36_39    19.96    12.27
 681    1   525010092  112.726058    -7.208485       0   193.2  15_36_41    21.87    12.20
 682    1   525125041  112.727920    -7.207315       0   243.0  15_36_45    18.52    12.21
 683    4     5250001  112.733870   -7.197102 2025/6/15
 684    1   525005052  112.734140    -7.196083       0   340.3  15_36_46    27.55    13.01
 685    1   525001047  112.729730    -7.207482       0   148.1  15_36_46    22.79    12.09
 686    1   525018479  112.721167    -7.190110       0   312.7  15_36_46    21.31    14.24
 687    1   525010092  112.726058    -7.208485       0   193.2  15_36_51    19.14    12.20
 688    1   525010154  112.726252    -7.207620       0     0.0  15_36_52    19.86    12.27
 689    1   525101102  112.717617    -7.177183       0   162.0  15_36_53    21.73    15.70
 690    1   525005052  112.734132    -7.196097       0   340.3  15_36_55    20.65    13.01
 691    4     5250001  112.733870   -7.197102 2025/6/15
 692    1   525125041  112.727920    -7.207313       0   243.0  15_36_56    23.81    12.21
 693    1   525018479  112.721167    -7.190105       0   312.7  15_36_58    22.86    14.24
 694    1   525100417  112.722148    -7.175635       0   360.0  15_36_58    20.65    15.63
 695    1   525010092  112.726053    -7.208485       0   193.2  15_37_2    21.66    12.20
 696    1   525125041  112.727933    -7.207313       0   243.0  15_37_3    24.06    12.21
 697    1   525300917  112.732497    -7.196323       0   235.4  15_37_3    19.92    13.06
 698    3   525020364  112.728373    -7.187407       0   360.0  15_37_3    22.00    14.15
 699    1   525000011  112.732250    -7.196873       0   248.7  15_37_5    19.44    13.02
 700    4     5250001  112.733870   -7.197102 2025/6/15
 701    1   525005052  112.734125    -7.196103       0   340.3  15_37_6    28.09    13.01
 702    1   525000011  112.732248    -7.196870       0   248.7  15_37_6    17.77    13.02
 703    1   525021252  112.724843    -7.199757       0   251.5  15_37_7    19.48    13.11
 704    1   525000011  112.732250    -7.196868       0   248.7  15_37_8    17.64    13.02
 705    1   525022001  112.701157    -7.185888       0   331.9  15_37_9    19.78    15.80
 706    1   525003239  112.723478    -7.204630       0   248.3  15_37_10    19.02    12.71
 707    1   525010092  112.726052    -7.208483       0   193.2  15_37_10    20.70    12.20
 708    1   525010154  112.726260    -7.207622       0   170.2  15_37_10    21.58    12.27
 709    1   525113033  112.809448    -6.885362       0   151.2  15_37_10    16.79    46.50
 710    1   525016193  112.724623    -7.205592      13   161.7  15_37_12    18.13    12.56
 711    4     5250001  112.733870   -7.197102 2025/6/15
 712    1   525125041  112.727933    -7.207313       0   243.0  15_37_15    25.89    12.21
 713    1   525005052  112.734113    -7.196103       0   340.3  15_37_17    24.11    13.01
 714    1   525018479  112.721162    -7.190098       0   312.7  15_37_17    21.04    14.24
 715    1   525022001  112.701157    -7.185872       0   333.3  15_37_20    19.51    15.80
 716    1   525300917  112.732498    -7.196322       0   235.4  15_37_20    22.46    13.06
 717    1   525010092  112.726055    -7.208480       0   193.2  15_37_20    22.95    12.20
 718    1   525125041  112.727920    -7.207312       0   243.0  15_37_24    24.61    12.21
 719    4     5250001  112.733870   -7.197102 2025/6/15
 720    1   525005052  112.734097    -7.196105       0   340.3  15_37_24    25.77    13.01
 721    1   525018479  112.721155    -7.190092       0   312.7  15_37_27    21.88    14.24
 722    1   525601953  112.708847    -7.180523       0   155.6  15_37_28    19.29    15.84
 723    1   525300917  112.732498    -7.196322       0   235.4  15_37_28    20.01    13.06
 724    1   525003239  112.723487    -7.204628       0   248.3  15_37_29    19.29    12.71
 725    3   525022005  112.720140    -7.175193       0     0.0  15_37_31    28.60    15.77
