ID   MID    MMSI      longitude   latitude  speed  course  waktu  f_str(dB)  Jarak(Km)
 84    1   525005052  112.734077    -7.196073       0   340.3  15_22_26    27.43    13.01
 85    3   525401189  112.721102    -7.207270       0    53.1  15_22_29    16.86    12.60
 86    1   525022001  112.701598    -7.186220       0   338.0  15_22_29    20.08    15.74
 87    1   525010092  112.726065    -7.208520       0   193.2  15_22_30    24.46    12.19
 88    1   525003239  112.723485    -7.204583       0   248.3  15_22_31    21.51    12.72
 89    1   525010154  112.726198    -7.207628       0   159.4  15_22_31    22.29    12.27
 90    1   525019035  112.724087    -7.186170       0   275.5  15_22_33    19.93    14.48
 91    3   525022005  112.720118    -7.175163       0     0.0  15_22_33    26.67    15.77
 92    1   525021186  112.727952    -7.199260       0   297.9  15_22_34    25.56    12.99
 93    4     5250001  112.733870   -7.197102 2025/6/15
 94    1   525125041  112.727920    -7.207307       0   243.0  15_22_36    26.27    12.21
 95    1   525005052  112.734080    -7.196068       0   340.3  15_22_37    23.93    13.02
 96    3   525125041  112.727915    -7.207307       0   243.0  15_22_37    28.71    12.21
 97    3   525000277  112.729752    -7.208077       0   239.2  15_22_39    22.39    12.03
 98    1   525300917  112.732492    -7.196330       0   235.4  15_22_40    19.81    13.06
 99    1   525022001  112.701593    -7.186218       0   341.4  15_22_41    20.61    15.74
 100    1   525010092  112.726065    -7.208517       0   193.2  15_22_41    23.70    12.19
 101    1   525021186  112.727950    -7.199260       0   292.2  15_22_44    22.74    12.99
 102    1   525125041  112.727920    -7.207307       0   243.0  15_22_45    25.59    12.21
 103    4     5250001  112.733870   -7.197102 2025/6/15
 104    1   525005052  112.734080    -7.196062       0   340.3  15_22_47    27.20    13.02
 105    1   525001047  112.729748    -7.207485       0   148.1  15_22_47    21.75    12.09
 106    1   525022001  112.701593    -7.186215       0   343.5  15_22_50    19.97    15.74
 107    1   525010092  112.726062    -7.208515       0   193.2  15_22_51    21.82    12.20
 108    1   525300917  112.732492    -7.196330       0   235.4  15_22_51    22.66    13.06
 109    1   525125041  112.727920    -7.207305       0   243.0  15_22_55    24.27    12.21
 110    4     5250001  112.733870   -7.197102 2025/6/15
 111    1   525005052  112.734082    -7.196062       0   340.3  15_22_55    25.03    13.02
 112    1   525000011  112.732242    -7.196853       0   248.7  15_22_55    18.26    13.02
 113    1   525022001  112.701595    -7.186215       0     0.0  15_23_0    20.89    15.74
 114    1   525010154  112.726232    -7.207628       0     0.0  15_23_1    19.47    12.27
 115    1   525010092  112.726062    -7.208517       0   193.2  15_23_1    23.58    12.20
 116    1   525101102  112.717650    -7.177233       0   162.0  15_23_2    19.60    15.69
 117    1   525125041  112.727920    -7.207303       0   243.0  15_23_5    22.57    12.21
 118    4     5250001  112.733870   -7.197102 2025/6/15
 119    1   525005052  112.734088    -7.196072       0   340.3  15_23_7    25.48    13.01
 120    3   525025085  112.689112    -7.187647       0    89.6  15_23_8    23.03    16.44
 121    1   525001047  112.729753    -7.207483       0   148.1  15_23_8    21.19    12.09
 122    1   525010092  112.726062    -7.208517       0   193.2  15_23_12    24.64    12.20
 123    1   525005052  112.734087    -7.196077       0   340.3  15_23_16    25.93    13.01
 124    1   525125041  112.727920    -7.207305       0   243.0  15_23_16    26.74    12.21
 125    3   525201572  112.744012    -7.194082       0   273.8  15_23_17    28.86    12.81
 126    1   525100417  112.722145    -7.175632       0   360.0  15_23_19    20.77    15.63
 127    1   525003239  112.723493    -7.204607       0   248.3  15_23_19    21.12    12.71
 128    1   525022001  112.701600    -7.186210       0   341.4  15_23_19    21.42    15.74
 129    1   525010092  112.726065    -7.208515       0   193.2  15_23_22    24.68    12.20
 130    3   525101102  112.717650    -7.177233       0   162.0  15_23_23    21.32    15.69
 131    4     5250001  112.733870   -7.197102 2025/6/15
 132    1   525125041  112.727920    -7.207307       0   243.0  15_23_26    21.04    12.21
 133    1   525005052  112.734098    -7.196078       0   340.3  15_23_26    25.77    13.01
 134    3   525022203  112.720307    -7.178655       0   228.4  15_23_29    24.13    15.42
 135    1   525022001  112.701598    -7.186205       0   338.3  15_23_29    21.67    15.74
 136    1   525003239  112.723492    -7.204608       0   248.3  15_23_29    23.66    12.71
 137    1   525101102  112.717650    -7.177233       0   162.0  15_23_33    22.82    15.69
 138    4     5250001  112.733870   -7.197102 2025/6/15
 139    3   525025088  112.725373    -7.205795       0    48.5  15_23_36    22.87    12.49
 140    1   525125041  112.727920    -7.207307       0   243.0  15_23_36    24.41    12.21
 141    1   525005052  112.734103    -7.196068       0   340.3  15_23_36    24.66    13.01
 142    1   525022001  112.701582    -7.186202       0   332.4  15_23_40    20.53    15.74
 143    3   525019101  112.725292    -7.202753       0   153.5  15_23_42    18.94    12.79
 144    1   525010092  112.726070    -7.208507       0   193.2  15_23_42    24.14    12.20
 145    1   525019035  112.724108    -7.186107       0   275.5  15_23_43    21.22    14.49
 146    1   525125041  112.727920    -7.207307       0   243.0  15_23_45    23.18    12.21
 147    4     5250001  112.733870   -7.197102 2025/6/15
 148    1   525005052  112.734118    -7.196067       0   340.3  15_23_46    27.20    13.01
 149    1   525022001  112.701578    -7.186195       0   326.5  15_23_50    20.70    15.74
 150    1   525019035  112.724108    -7.186100       0   275.5  15_23_52    20.85    14.49
 151    1   525125041  112.727933    -7.207307       0   243.0  15_23_54    27.10    12.21
 152    4     5250001  112.733870   -7.197102 2025/6/15
 153    1   525005052  112.734130    -7.196078       0   340.3  15_23_56    25.60    13.01
 154    1   525010092  112.726073    -7.208505       0   193.2  15_24_1    23.79    12.20
 155    1   525125041  112.727933    -7.207307       0   243.0  15_24_4    25.81    12.21
 156    4     5250001  112.733870   -7.197102 2025/6/15
 157    1   525005052  112.734118    -7.196092       0   340.3  15_24_7    25.95    13.01
 158    1   525000011  112.732257    -7.196852       0   248.7  15_24_9    17.50    13.02
 159    1   525022001  112.701577    -7.186210       0   310.8  15_24_10    21.22    15.74
 160    1   525010092  112.726072    -7.208507       0   193.2  15_24_11    23.95    12.20
 161    1   525101102  112.717633    -7.177233       0   162.0  15_24_13    18.99    15.69
 162    4     5250001  112.733870   -7.197102 2025/6/15
 163    1   525005052  112.734122    -7.196093       0   340.3  15_24_16    21.64    13.01
 164    1   525000011  112.732250    -7.196857       0   248.7  15_24_16    17.78    13.02
 165    1   525125041  112.727933    -7.207307       0   243.0  15_24_16    25.95    12.21
 166    1   525300917  112.732485    -7.196325       0   235.4  15_24_16    20.29    13.06
 167    1   525200262  112.726405    -7.208560       0    63.2  15_24_16    20.35    12.17
 168    3   525005174  112.727750    -7.206953       0   210.5  15_24_17    23.28    12.25
 169    1   525300917  112.732485    -7.196323       0   235.4  15_24_21    18.23    13.06
 170    1   525010092  112.726072    -7.208508       0   193.2  15_24_21    24.95    12.20
 171    1   525000011  112.732243    -7.196865       0   248.7  15_24_21    17.64    13.02
 172    4     5250001  112.733870   -7.197102 2025/6/15
 173    1   525125041  112.727933    -7.207307       0   243.0  15_24_25    24.79    12.21
 174    1   525005052  112.734135    -7.196102       0   340.3  15_24_25    26.21    13.01
 175    1   525300917  112.732485    -7.196325       0   235.4  15_24_28    20.93    13.06
 176    1   525000011  112.732237    -7.196868       0   248.7  15_24_28    18.63    13.02
 177    1   525022001  112.701585    -7.186205       0   301.9  15_24_28    22.35    15.74
 178    1   525010154  112.726197    -7.207615       0     0.0  15_24_31    21.34    12.27
 179    1   525000011  112.732235    -7.196877       1   248.7  15_24_32    19.44    13.02
 180    4     5250001  112.733870   -7.197102 2025/6/15
 181    1   525125041  112.727933    -7.207307       0   243.0  15_24_35    23.86    12.21
 182    1   525005052  112.734140    -7.196117       0   340.3  15_24_37    20.82    13.01
 183    1   525022001  112.701577    -7.186190       0   299.2  15_24_41    19.98    15.74
 184    1   525010092  112.726072    -7.208508       0   193.2  15_24_42    25.03    12.20
 185    1   525125041  112.727933    -7.207307       0   243.0  15_24_45    26.63    12.21
 186    4     5250001  112.733870   -7.197102 2025/6/15
 187    1   525005052  112.734128    -7.196110       0   340.3  15_24_46    28.53    13.01
 188    1   525022001  112.701570    -7.186195       0   298.6  15_24_49    21.10    15.74
 189    1   525010092  112.726072    -7.208507       0   193.2  15_24_52    22.39    12.20
 190    1   525300917  112.732487    -7.196330       0   235.4  15_24_52    21.68    13.06
 191    1   525125041  112.727920    -7.207305       0   243.0  15_24_55    21.33    12.21
 192    4     5250001  112.733870   -7.197102 2025/6/15
 193    1   525005052  112.734115    -7.196085       0   340.3  15_24_56    24.61    13.01
 194    1   525000011  112.732247    -7.196880       0   248.7  15_24_56    17.61    13.02
 195    1   525000011  112.732253    -7.196872       0   248.7  15_24_59    18.36    13.02
 196    1   525010092  112.726072    -7.208510       0   193.2  15_25_1    24.29    12.20
 197    1   525019035  112.724083    -7.186060       0   275.5  15_25_2    20.48    14.49
 198    1   525300917  112.732488    -7.196332       0   235.4  15_25_3    20.47    13.06
 199    1   525125041  112.727920    -7.207303       0   243.0  15_25_5    22.79    12.21
 200    4     5250001  112.733870   -7.197102 2025/6/15
 201    1   525005052  112.734105    -7.196070       0   340.3  15_25_6    26.42    13.01
 202    1   525022001  112.701568    -7.186198       0   297.4  15_25_10    21.83    15.74
 203    1   525010092  112.726075    -7.208510       0   193.2  15_25_12    22.33    12.19
 204    1   525101102  112.717633    -7.177233       0   162.0  15_25_13    21.68    15.69
 205    1   525021186  112.727922    -7.199263       0   129.4  15_25_13    23.13    12.99
 206    4     5250001  112.733870   -7.197102 2025/6/15
 207    1   525005052  112.734090    -7.196073       0   340.3  15_25_16    22.40    13.01
 208    1   525000011  112.732270    -7.196870       0   248.7  15_25_16    18.06    13.02
 209    1   525019035  112.724072    -7.186050       0   275.5  15_25_24    19.74    14.49
 210    4     5250001  112.733870   -7.197102 2025/6/15
 211    1   525125041  112.727920    -7.207302       0   243.0  15_25_26    21.48    12.21
 212    1   525005052  112.734082    -7.196087       0   340.3  15_25_26    28.34    13.01
 213    1   525022001  112.701550    -7.186190       0   297.7  15_25_29    22.00    15.75
 214    3   525022005  112.720063    -7.175187       0     0.0  15_25_33    29.77    15.77
 215    4     5250001  112.733870   -7.197102 2025/6/15
 216    1   525125041  112.727920    -7.207302       0   243.0  15_25_36    21.97    12.21
 217    1   525005052  112.734078    -7.196077       0   340.3  15_25_37    22.78    13.01
 218    3   525125041  112.727917    -7.207302       0   243.0  15_25_37    29.71    12.21
 219    1   525300917  112.732492    -7.196337       0   235.4  15_25_40    19.86    13.06
 220    1   525010154  112.726212    -7.207608       0   157.7  15_25_41    19.73    12.27
 221    1   525019035  112.724052    -7.186045       0   281.3  15_25_44    19.27    14.50
 222    1   525207014  112.729678    -7.207522       0   263.1  15_25_44    20.47    12.09
 223    4     5250001  112.733870   -7.197102 2025/6/15
 224    1   525125041  112.727920    -7.207300       0   243.0  15_25_44    26.01    12.21
 225    1   525005052  112.734057    -7.196068       0   340.3  15_25_46    25.88    13.02
 226    1   525022001  112.701537    -7.186182       0   299.9  15_25_51    21.49    15.75
 227    1   525113033  112.809457    -6.885337       0   151.2  15_25_51    16.82    46.50
 228    1   525300917  112.732492    -7.196338       0   235.4  15_25_51    23.16    13.06
 229    1   525125041  112.727920    -7.207298       0   243.0  15_25_55    23.75    12.21
 230    4     5250001  112.733870   -7.197102 2025/6/15
 231    1   525300917  112.732492    -7.196337       0   235.4  15_25_58    22.46    13.06
 232    1   525010154  112.726208    -7.207603       0   161.0  15_26_1    19.05    12.27
 233    1   525300917  112.732490    -7.196337       0   235.4  15_26_2    22.08    13.06
 234    1   525000011  112.732255    -7.196907       0   248.7  15_26_4    18.40    13.01
 235    1   525125041  112.727920    -7.207297       0   243.0  15_26_5    23.29    12.21
 236    4     5250001  112.733870   -7.197102 2025/6/15
 237    1   525005052  112.734047    -7.196065       0   340.3  15_26_7    26.47    13.02
 238    3   525025085  112.689125    -7.187645       0    89.6  15_26_8    22.99    16.44
 239    1   525000011  112.732253    -7.196908       0   248.7  15_26_9    19.96    13.01
 240    1   525300917  112.732488    -7.196335       0   235.4  15_26_9    21.10    13.06
 241    1   525022001  112.701542    -7.186167       0   303.1  15_26_9    20.18    15.75
 242    1   525010092  112.726078    -7.208498       0   193.2  15_26_12    20.86    12.20
 243    1   525021186  112.727930    -7.199265       0   112.6  15_26_14    23.87    12.99
 244    4     5250001  112.733870   -7.197102 2025/6/15
 245    1   525005052  112.734060    -7.196053       0   340.3  15_26_16    19.40    13.02
 246    1   525125041  112.727920    -7.207297       0   243.0  15_26_16    25.20    12.21
 247    1   525300917  112.732488    -7.196333       0   235.4  15_26_16    21.30    13.06
 248    3   525201572  112.744010    -7.194103       0   261.2  15_26_18    31.68    12.81
 249    1   525022001  112.701525    -7.186157       0   304.6  15_26_21    19.65    15.75
 250    1   525101102  112.717633    -7.177217       0   162.0  15_26_23    21.66    15.69
 251    4     5250001  112.733870   -7.197102 2025/6/15
 252    3   525125041  112.727920    -7.207298       0   243.0  15_26_26    21.65    12.21
 253    3   525108005  112.729412    -7.208850       0   279.1  15_26_26    22.90    11.98
 254    3   525005052  112.734062    -7.196047       0   340.3  15_26_26    27.36    13.02
 255    3   525022203  112.720327    -7.178635       0   228.4  15_26_28    23.14    15.42
 256    1   525000011  112.732253    -7.196892       0   248.7  15_26_29    16.67    13.02
 257    1   525022001  112.701522    -7.186157       0   305.9  15_26_29    21.32    15.75
 258    1   525010154  112.726202    -7.207605       0   168.3  15_26_31    18.92    12.27
 259    4     5250001  112.733870   -7.197102 2025/6/15
 260    3   525025088  112.725360    -7.205780       0    48.5  15_26_36    21.59    12.50
 261    1   525125041  112.727920    -7.207300       0   243.0  15_26_36    23.16    12.21
 262    1   525005052  112.734067    -7.196057       0   340.3  15_26_36    21.01    13.02
 263    1   525001047  112.729690    -7.207525       0   148.1  15_26_39    21.73    12.09
 264    1   525022001  112.701525    -7.186153       0   307.7  15_26_39    21.36    15.75
 265    1   525300917  112.732483    -7.196327       0   235.4  15_26_40    20.75    13.06
 266    1   525101102  112.717633    -7.177200       0   162.0  15_26_40    21.83    15.69
 267    1   525010092  112.726068    -7.208492       0   193.2  15_26_42    22.27    12.20
 268    4     5250001  112.733870   -7.197102 2025/6/15
 269    1   525005052  112.734072    -7.196063       0   340.3  15_26_46    28.43    13.02
 270    1   525000011  112.732263    -7.196895       0   248.7  15_26_47    18.77    13.02
 271    3   525010154  112.726215    -7.207615       0     0.0  15_26_50    20.62    12.27
 272    1   525022001  112.701522    -7.186158       0   309.1  15_26_50    21.24    15.75
 273    1   525010092  112.726065    -7.208492       0   193.2  15_26_52    19.49    12.20
 274    1   525125041  112.727920    -7.207303       0   243.0  15_26_54    21.61    12.21
 275    4     5250001  112.733870   -7.197102 2025/6/15
 276    1   525005052  112.734072    -7.196073       0   340.3  15_26_56    24.17    13.02
 277    1   525000011  112.732257    -7.196875       0   248.7  15_27_0    20.21    13.02
 278    1   525022001  112.701513    -7.186165       0   309.8  15_27_1    22.77    15.75
 279    1   525010092  112.726060    -7.208493       0   193.2  15_27_1    22.42    12.20
 280    1   525000011  112.732255    -7.196867       0   248.7  15_27_4    18.63    13.02
 281    4     5250001  112.733870   -7.197102 2025/6/15
 282    1   525125041  112.727920    -7.207302       0   243.0  15_27_4    21.36    12.21
 283    1   525005052  112.734073    -7.196075       0   340.3  15_27_6    28.05    13.01
 284    4     5250001  112.733870   -7.197102 2025/6/15
 285    1   525005052  112.734077    -7.196048       0   340.3  15_27_16    25.61    13.02
 286    1   525125041  112.727920    -7.207302       0   243.0  15_27_16    21.08    12.21
 287    1   525022001  112.701515    -7.186145       0   311.9  15_27_21    22.99    15.75
 288    1   525010092  112.726050    -7.208493       0   193.2  15_27_21    22.16    12.20
 289    1   525019035  112.723945    -7.186032       0   285.9  15_27_23    18.33    14.50
 290    4     5250001  112.733870   -7.197102 2025/6/15
 291    1   525125041  112.727920    -7.207302       0   243.0  15_27_25    15.82    12.21
 292    1   525005052  112.734075    -7.196043       0   340.3  15_27_27    27.40    13.02
 293    1   525022001  112.701513    -7.186140       0   312.9  15_27_28    20.50    15.75
 294    1   525125041  112.727920    -7.207303       0   243.0  15_27_35    18.98    12.21
 295    4     5250001  112.733870   -7.197102 2025/6/15
 296    1   525005052  112.734060    -7.196048       0   340.3  15_27_37    24.18    13.02
 297    1   525100417  112.722148    -7.175640       0   360.0  15_27_38    20.28    15.63
 298    1   525022001  112.701508    -7.186140       0   313.9  15_27_39    22.26    15.75
 299    1   525300917  112.732485    -7.196327       0   235.4  15_27_39    21.01    13.06
 300    1   525010154  112.726227    -7.207613       0   158.7  15_27_41    18.44    12.27
 301    1   525101102  112.717633    -7.177200       0   162.0  15_27_42    22.43    15.69
 302    1   525000011  112.732247    -7.196863       0   248.7  15_27_44    18.86    13.02
 303    4     5250001  112.733870   -7.197102 2025/6/15
 304    1   525005052  112.734050    -7.196040       0   340.3  15_27_46    27.20    13.02
 305    1   525000011  112.732245    -7.196858       0   248.7  15_27_48    18.37    13.02
 306    1   525001047  112.729728    -7.207492       0   148.1  15_27_48    21.58    12.09
 307    3   525018505  112.664162    -7.094768       0   269.6  15_27_49    19.88    26.56
 308    1   525022001  112.701498    -7.186145       0   315.2  15_27_51    23.26    15.75
 309    1   525101102  112.717633    -7.177200       0   162.0  15_27_52    20.99    15.69
 310    1   525005052  112.734045    -7.196027       0   340.3  15_27_56    24.19    13.02
 311    3   636022412  112.709853    -7.197215       0    11.2  15_27_58    23.21    14.22
 312    1   525021252  112.724910    -7.199802       0   247.0  15_27_58    18.91    13.10
 313    1   525022001  112.701498    -7.186143       0   316.7  15_28_1    23.82    15.75
 314    1   525019035  112.723937    -7.186030       0   285.9  15_28_2    19.73    14.50
 315    1   525101102  112.717633    -7.177200       0   162.0  15_28_2    20.34    15.69
 316    1   525000011  112.732240    -7.196837       0   248.7  15_28_3    15.96    13.02
 317    4     5250001  112.733870   -7.197102 2025/6/15
 318    1   525005052  112.734047    -7.196020       0   340.3  15_28_6    28.32    13.02
 319    1   525001047  112.729747    -7.207497       0   148.1  15_28_8    22.88    12.09
 320    1   525022001  112.701503    -7.186142       0   317.0  15_28_10    22.58    15.75
 321    1   525000011  112.732240    -7.196837       0   248.7  15_28_13    16.50    13.02
 322    4     5250001  112.733870   -7.197102 2025/6/15
 323    1   525005052  112.734062    -7.196022       0   340.3  15_28_16    23.50    13.02
 324    1   525100417  112.722143    -7.175642       0   360.0  15_28_19    20.46    15.63
 325    1   525022001  112.701500    -7.186140       0   316.4  15_28_20    23.40    15.75
 326    3   525300917  112.732430    -7.196342       0   232.1  15_28_23    18.85    13.06
 327    1   525000011  112.732252    -7.196850       0   248.7  15_28_24    22.76    13.02
 328    4     5250001  112.733870   -7.197102 2025/6/15
 329    1   525005052  112.734060    -7.196027       0   340.3  15_28_27    26.58    13.02
 330    1   525001047  112.729762    -7.207483       0   148.1  15_28_27    21.79    12.09
 331    1   525000011  112.732257    -7.196850       0   248.7  15_28_29    17.70    13.02
 332    1   525022001  112.701497    -7.186127       0   315.2  15_28_29    22.81    15.76
 333    1   525300917  112.732487    -7.196330       0   235.4  15_28_33    18.46    13.06
 334    3   525022005  112.720113    -7.175163       0     0.0  15_28_33    27.55    15.77
 335    1   525019035  112.723957    -7.186028       0   285.9  15_28_33    20.61    14.50
 336    4     5250001  112.733870   -7.197102 2025/6/15
 337    1   525005052  112.734063    -7.196037       0   340.3  15_28_37    23.83    13.02
 338    1   525001047  112.729752    -7.207487       0   148.1  15_28_37    18.14    12.09
 339    1   525100417  112.722142    -7.175643       0   360.0  15_28_38    20.59    15.63
 340    1   525022001  112.701492    -7.186122       0   313.4  15_28_39    22.71    15.76
 341    1   525010092  112.726055    -7.208497       0   193.2  15_28_41    19.18    12.20
 342    1   525101102  112.717617    -7.177200       0   162.0  15_28_41    23.06    15.69
 343    4     5250001  112.733870   -7.197102 2025/6/15
 344    1   525125041  112.727920    -7.207313       0   243.0  15_28_45    18.55    12.21
 345    1   525200262  112.726297    -7.208605       0   139.4  15_28_46    18.23    12.17
 346    1   525005052  112.734063    -7.196043       0   340.3  15_28_46    26.71    13.02
 347    1   525022001  112.701483    -7.186112       0   312.0  15_28_51    22.43    15.76
 348    1   525019035  112.723965    -7.186023       0   285.9  15_28_53    19.06    14.50
 349    4     5250001  112.733870   -7.197102 2025/6/15
 350    1   525005052  112.734060    -7.196047       0   340.3  15_28_55    23.65    13.02
 351    1   525100417  112.722140    -7.175643       0   360.0  15_28_57    20.04    15.63
 352    1   525022001  112.701473    -7.186113       0   310.3  15_29_1    22.50    15.76
 353    4     5250001  112.733870   -7.197102 2025/6/15
 354    1   525125041  112.727920    -7.207315       0   243.0  15_29_5    19.14    12.21
 355    1   525005052  112.734048    -7.196045       0   340.3  15_29_5    27.27    13.02
 356    1   525001047  112.729723    -7.207478       0   148.1  15_29_7    22.66    12.09
 357    1   525022001  112.701475    -7.186117       0   308.5  15_29_9    21.81    15.76
 358    1   525000011  112.732270    -7.196888       0   248.7  15_29_12    17.26    13.02
 359    1   525021186  112.727938    -7.199265       0   284.3  15_29_14    21.09    12.99
 360    4     5250001  112.733870   -7.197102 2025/6/15
 361    1   525005052  112.734047    -7.196053       0   340.3  15_29_16    22.16    13.02
 362    3   525201572  112.744008    -7.194115       0   251.6  15_29_16    30.39    12.81
 363    1   525010154  112.726217    -7.207603       0   155.1  15_29_19    16.68    12.27
 364    1   525022001  112.701477    -7.186112       0   305.0  15_29_21    22.44    15.76
